Dataset,Filename,MFG Date,EXP Date
train,img_00002_jpg.rf.094c39b8fd273ee33e6b6c025c1f4d70.jpg,Not found,Not found
train,img_00004_jpg.rf.900c730542869fcccf6e3cbfbc53c60c.jpg,Not found,Not found
train,img_00005_jpg.rf.4820acb4e60bc60c3dc4e74e1e5e3f40.jpg,Not found,Not found
train,img_00006_jpg.rf.fcab3f9e17f59526b02d1ead1eb75c9d.jpg,Not found,Not found
train,img_00007_jpg.rf.438f7a31c11eae381f511beed8d87dce.jpg,Not found,Not found
train,img_00008_jpg.rf.219e13e824119bc7816106b7d71d4674.jpg,Not found,Not found
train,img_00009_jpg.rf.dd1d8affd6f8a9570980e83bbe480c6f.jpg,Not found,Not found
train,img_00010_jpg.rf.9d6d84d5e3e88d63faa15a45aac5a245.jpg,Not found,Not found
train,img_00011_jpg.rf.0e5d6a0b72114db6c572efa9d590d3c5.jpg,Not found,Not found
train,img_00012_jpg.rf.8be933debd1b3586d153620b45a2c425.jpg,Not found,Not found
train,img_00014_jpg.rf.c0cc529f5a9c4b99872bf0f28f150223.jpg,Not found,Not found
train,img_00015_jpg.rf.ff9d05c63a9fb86c253e2e1bd95c0207.jpg,2017-03-01,2017-03-01
train,img_00018_jpg.rf.a69f17adeac395fdc546c4395376ecf7.jpg,Not found,Not found
train,img_00021_jpg.rf.df112d7ab55e452975b81f06bf2fecf3.jpg,2018-08-04,2018-08-04
train,img_00022_jpg.rf.f3a89f1e3a13ef6b30476e623666ceff.jpg,Not found,Not found
train,img_00023_jpg.rf.1bb59d8edc7dd053cc369358588f31d5.jpg,Not found,Not found
train,img_00025_jpg.rf.f4899ae4db8e7945f1a7a2bf94503c6e.jpg,Not found,Not found
train,img_00026_jpg.rf.3acc1f3ba9e424797033f28e5d80019b.jpg,Not found,Not found
train,img_00028_jpg.rf.9d0f92fc06bd714857e3e7a63ebcc72a.jpg,Not found,Not found
train,img_00029_jpg.rf.3884cd3a4edc6411402c7d09634c54d7.jpg,Not found,Not found
train,img_00031_jpg.rf.9e81c8c612be02d9e6017b8178f2e29a.jpg,Not found,Not found
train,img_00032_jpg.rf.3289c405639859e7b3225c1d912f090e.jpg,Not found,Not found
train,img_00034_jpg.rf.ef09050e65ed420f6506b92038729ddd.jpg,Not found,Not found
train,img_00035_jpg.rf.f58102888ebcaa901ff139a342b56caf.jpg,Not found,Not found
train,img_00036_jpg.rf.758408db347282605567814f6c60fa3e.jpg,2023-10-01,2023-10-01
train,img_00037_jpg.rf.966fa5f67f89199598a11e9c111be2cf.jpg,Not found,Not found
train,img_00038_jpg.rf.354d4e9e26c48014f17e309ae3be3021.jpg,Not found,Not found
train,img_00040_jpg.rf.857114dccc542a31d193f874d7231eea.jpg,Not found,Not found
train,img_00042_jpg.rf.7083d0277b28c179cb8903caf0a26734.jpg,Not found,Not found
train,img_00043_jpg.rf.2596421493f8a9359ec3fa8ba291385c.jpg,Not found,Not found
train,img_00044_jpg.rf.9ca18683e68ada79159db51804fdfdb8.jpg,2021-07-01,2021-07-01
train,img_00045_jpg.rf.a49d171e861fcc3790b789c56b19d29d.jpg,Not found,Not found
train,img_00048_jpg.rf.5c1f5a278da8b31802582f6de2ef2823.jpg,Not found,Not found
train,img_00049_jpg.rf.e5bb18e6a8a3bc52c2f1902f7c04d78d.jpg,Not found,Not found
train,img_00050_jpg.rf.361d6b3e973b5a73235b8fe60dfd9a1b.jpg,Not found,Not found
train,img_00053_jpg.rf.aacedce5cd29b05a33b450f548608d62.jpg,Not found,Not found
train,img_00054_jpg.rf.ac19330ed92685978261633f8fe8cf15.jpg,Not found,Not found
train,img_00055_jpg.rf.cc49fc92b572cd768a5d0d0a951b98e0.jpg,Not found,Not found
train,img_00056_jpg.rf.17496ad56124b298964a8355ddbf4898.jpg,Not found,Not found
train,img_00058_jpg.rf.4ab9f32f739fcf212f5010a847370eb8.jpg,Not found,Not found
train,img_00059_jpg.rf.334378bd49b0cfc0e7415485c3331763.jpg,Not found,Not found
train,img_00060_jpg.rf.124e9fef0c0c0e2a1f4f0dc3464e75d1.jpg,Not found,Not found
train,img_00061_jpg.rf.0dac972be3859ee903b6f1321a2a5d01.jpg,Not found,Not found
train,img_00062_jpg.rf.f2fac63bcecfc61cf2840c8353bb3604.jpg,Not found,Not found
train,img_00063_jpg.rf.19c32a61ff048e9321bf3c68a4ab8b7b.jpg,Not found,Not found
train,img_00065_jpg.rf.77699d9821c030e7e5c64b70c2d3045f.jpg,Not found,Not found
train,img_00066_jpg.rf.acd4c0a37c2a1aea4d32a4dce1b9a52c.jpg,Not found,Not found
train,img_00067_jpg.rf.3a42cf855b674f2f1d048d074812e764.jpg,Not found,Not found
train,img_00069_jpg.rf.b724648ab08620b95c35151c4e04f712.jpg,Not found,Not found
train,img_00070_jpg.rf.4a98d6b95571ed473e5eb1f32db7afc6.jpg,Not found,Not found
train,img_00071_jpg.rf.a0c85e2075c7bfcf771fe650a25775e5.jpg,2022-07-01,2022-07-01
train,img_00073_jpg.rf.6156312370c2c4bf5101b5ab4cc168a9.jpg,Not found,Not found
train,img_00074_jpg.rf.12d07bb8b5e0ef286d95397b30e620b8.jpg,Not found,Not found
train,img_00076_jpg.rf.2f9d1ce76f9eaf8d429d7d0fc3fae1b7.jpg,Not found,Not found
train,img_00079_jpg.rf.56639068509ac4cd165e92ef404cb83c.jpg,Not found,Not found
train,img_00080_jpg.rf.0b9edea9f807a2445f135835e03a52fc.jpg,Not found,Not found
train,img_00081_jpg.rf.a65233eaaac6f1d14207b744a7737c61.jpg,Not found,Not found
train,img_00082_jpg.rf.47bbfacf062eed229dfa7261a027d680.jpg,Not found,Not found
train,img_00086_jpg.rf.de32fe8a7928e31a28c0fd2627550cb3.jpg,Not found,Not found
train,img_00088_jpg.rf.134d7ddd2ee55790ca0e8109fbce307e.jpg,Not found,Not found
train,img_00089_jpg.rf.8781330642b984ba25b76b4898685d69.jpg,Not found,Not found
train,img_00090_jpg.rf.c2bd4bc6366fa0318a2698679e5e8cc1.jpg,Not found,Not found
train,img_00091_jpg.rf.eda02aa104b27af150f99bd40e4a7d77.jpg,Not found,Not found
train,img_00092_jpg.rf.a52f524be5fecb5fcca327107ed6cd1c.jpg,Not found,Not found
train,img_00093_jpg.rf.4ad98e39c9cbe4131ca32f5ba9439827.jpg,Not found,Not found
train,img_00094_jpg.rf.de3d2b90726b649459efa45490f96526.jpg,Not found,Not found
